,date,rev,discount
0,2019-01-01,860331.4677409524,512860.0
1,2019-01-02,1494802.537386667,864634.0
2,2019-01-03,1004542.9071390475,397134.0
3,2019-01-04,1011044.1065211432,361481.0
4,2019-01-05,1025176.0644914284,408829.0
5,2019-01-06,996386.3016304758,387248.0
6,2019-01-07,1168613.091306665,568501.0
7,2019-01-08,1094638.5412495213,526498.0
8,2019-01-09,1335640.9338742846,648390.0
9,2019-01-10,1545128.6890895236,909753.0
10,2019-01-11,1046546.4217523808,579962.0
11,2019-01-12,1260712.1281523833,779608.0
12,2019-01-13,1232157.5560990465,535278.0
13,2019-01-14,1169225.7103999997,578289.0
14,2019-01-15,1153975.9611733323,586056.0
15,2019-01-16,1042031.5691809527,639894.0
16,2019-01-17,1674121.0805866704,965193.0
17,2019-01-18,1728151.3124114312,877251.0
18,2019-01-19,1528956.767619051,772269.0
19,2019-01-20,1494540.5089904757,682704.0
20,2019-01-21,1156139.297577141,530563.0
21,2019-01-22,1207800.0274247641,573633.0
22,2019-01-23,1254511.8786285734,662110.0
23,2019-01-24,1396988.7953142838,711972.0
24,2019-01-25,1642936.9345980934,819743.0
25,2019-01-26,1598611.8960114291,800417.0
26,2019-01-27,1596072.9049333336,805493.0
27,2019-01-28,1824001.5758019034,1105719.0
28,2019-01-29,2171457.478704762,1368166.0
29,2019-01-30,1750583.2618514271,1052951.0
30,2019-01-31,1579421.2740038102,884723.0
31,2019-02-01,1463955.939954286,782067.0
32,2019-02-02,1495015.4531885735,783986.0
33,2019-02-03,1666908.5951009558,889862.0
34,2019-02-04,1457539.2449600003,800537.0
35,2019-02-05,1641282.4922057176,860507.0
36,2019-02-06,1393355.1608380924,737345.0
37,2019-02-07,1530333.585638092,906001.0
38,2019-02-08,1723920.5308723822,1107510.0
39,2019-02-09,1438559.2057264748,804632.0
40,2019-02-10,1564526.237531428,791304.0
41,2019-02-11,1408807.0103314284,740838.0
42,2019-02-12,1798134.1768624845,1003331.0
43,2019-02-13,1817410.69118476,1192912.0
44,2019-02-14,1591030.8702704732,862489.0
45,2019-02-15,2301461.1977485744,1739691.0
46,2019-02-16,1286511.6949295271,824964.0
47,2019-02-17,1425002.6546742858,804084.0
48,2019-02-18,1114816.3049980947,635884.0
49,2019-02-19,1156109.7488228583,592203.0
50,2019-02-20,1321954.334457145,829429.0
51,2019-02-21,1553281.9571199988,663396.0
52,2019-02-22,1327847.5974247607,665083.0
53,2019-02-23,1419576.130430476,754721.0
54,2019-02-24,2053166.5140647616,1306890.0
